business_id,name,city,state,categories,stars,review_count
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,Philadelphia,PA,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries",4.0,80
CF33F8-E6oudUQ46HnavjQ,Sonic Drive-In,Ashland City,TN,"Burgers, Fast Food, Sandwiches, Food, Ice Cream & Frozen Yogurt, Restaurants",2.0,6
k0hlBqXX-Bt0vf1op7Jr1w,Tsevi's Pub And Grill,Affton,MO,"Pubs, Restaurants, Italian, Bars, American (Traditional), Nightlife, Greek",3.0,19
bBDDEgkFA1Otx9Lfe7BZUQ,Sonic Drive-In,Nashville,TN,"Ice Cream & Frozen Yogurt, Fast Food, Burgers, Restaurants, Food",1.5,10
eEOYSgkmpB90uNA7lDOMRA,Vietnamese Food Truck,Tampa Bay,FL,"Vietnamese, Food, Restaurants, Food Trucks",4.0,10
il_Ro8jwPlHresjw9EGmBg,Denny's,Indianapolis,IN,"American (Traditional), Restaurants, Diners, Breakfast & Brunch",2.5,28
0bPLkL0QhhPO5kt1_EXmNQ,Zio's Italian Market,Largo,FL,"Food, Delis, Italian, Bakeries, Restaurants",4.5,100
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,Philadelphia,PA,"Sushi Bars, Restaurants, Japanese",4.0,245
ROeacJQwBeh05Rqg7F6TCg,BAP,Philadelphia,PA,"Korean, Restaurants",4.5,205
WKMJwqnfZKsAae75RMP6jA,Roast Coffeehouse and Wine Bar,Edmonton,AB,"Coffee & Tea, Food, Cafes, Bars, Wine Bars, Restaurants, Nightlife",4.0,40
kfNv-JZpuN6TVNSO6hHdkw,Hibachi Express,Indianapolis,IN,"Steakhouses, Asian Fusion, Restaurants",4.0,20
9OG5YkX1g2GReZM0AskizA,Romano's Macaroni Grill,Reno,NV,"Restaurants, Italian",2.5,339
4iRzR7OaS-QaSXuvYxEGKA,Super Dog,Nashville,TN,"Hot Dogs, Restaurants",4.0,6
tMkwHmWFUEXrC9ZduonpTg,The Green Pheasant,Nashville,TN,"Restaurants, Japanese, Seafood",4.0,161
QdN72BWoyFypdGJhhI5r7g,Bar One,Philadelphia,PA,"Cocktail Bars, Bars, Italian, Nightlife, Restaurants",4.0,65
sqSqqLy0sN8n2IZrAbzidQ,Domino's Pizza,White House,TN,"Pizza, Chicken Wings, Sandwiches, Restaurants",3.5,8
Mjboz24M9NlBeiOJKLEd_Q,DeSandro on Main,Philadelphia,PA,"Pizza, Restaurants, Salad, Soup",3.0,41
kV_Q1oqis8Qli8dUoGpTyQ,Ardmore Pizza,Ardmore,PA,"Pizza, Restaurants",3.5,109
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,Philadelphia,PA,"Eatertainment, Arts & Entertainment, Brewpubs, American (Traditional), Bakeries, Breweries, Food, Restaurants",3.5,65
2xVsWBNFwZOxIOdd9Mwnww,Cheeseburger In Paradise,Exton,PA,"Restaurants, Burgers",2.5,20
ljxNT9p0y7YMPx0fcNBGig,Tony's Restaurant & 3rd Street Cafe,Alton,IL,"Restaurants, Specialty Food, Steakhouses, Food, Italian, Pizza, Pasta Shops",3.0,94
wghnIlMb_i5U46HMBGx9ig,China Dragon Restaurant,Tucson,AZ,"Restaurants, Chinese",3.0,23
lk9IwjZXqUMqqOhM774DtQ,Caviar & Bananas,Nashville,TN,"Coffee & Tea, Restaurants, Wine Bars, Bars, Nightlife, American (Traditional), Event Planning & Services, Food, Caterers, Breakfast & Brunch, Cafes, Diners",3.5,159
ABxoFuzZy5mqQ8C5FJJajQ,Core de Roma,Bala Cynwyd,PA,"Restaurants, Italian",5.0,12
cVBxfMC4lp3DnocjYA3FHQ,Paws The Cat Cafe,Edmonton,AB,"Coffee & Tea, Cafes, Pets, Restaurants, Pet Adoption, Food",5.0,20
uI9XODGY_2_ieTE6xJ0myw,Roman Forum,Tampa,FL,"Restaurants, American (New), Italian",4.0,23
JgpnXv_0XhV3SfbfB50nxw,Joe's Pizza,Tampa,FL,"Restaurants, Pizza",4.0,35
Si6LXSR9gvAbmgO5DzV2cw,Lafitte's Landing Seafood House,Harvey,LA,"Restaurants, Soup, Seafood, Burgers",2.5,38
seKihQKpGGnCeLuELRQPSQ,Twin Peaks,Indianapolis,IN,"Sports Bars, American (New), American (Traditional), Nightlife, Bars, Restaurants",3.5,257
L_TT0BFmFwORAMaA83K54A,Village Tap Room,Indianapolis,IN,"Gastropubs, Cocktail Bars, Beer Bar, Bars, Restaurants, Nightlife",2.5,23
qfWJmJ0g96eM_fWma3ja0g,Doc Magrogan's Oyster House - West Chester,West Chester,PA,"Seafood, Restaurants, Bars, Nightlife, Cocktail Bars, American (New), Pubs",3.0,114
8rb-3VYXE37IZix4yOdskw,Sharky's Sports Bar & Grill,Williamstown,NJ,"American (Traditional), Bars, Nightlife, Sports Bars, Restaurants",2.5,29
aCDY7vXYMs54EbYuQScsnQ,39 North Taproom & Grill,Glenolden,PA,"American (Traditional), Sports Bars, Restaurants, Bars, Nightlife, Steakhouses, Salad, Beer Bar",4.5,25
x9K0RfZaT_zlw6DklBDzjw,Gavi Italian Restaurant,Tucson,AZ,"Italian, Restaurants",3.5,9
pJfh3Ct8iL58NZa8ta-a5w,Top Shelf Sports Lounge,Wesley Chapel,FL,"Burgers, Sports Bars, Bars, Lounges, Restaurants, Salad, Wraps, Nightlife, American (New)",4.5,95
ppFCk9aQkM338Rgwpl2F5A,Wawa,Philadelphia,PA,"Restaurants, Automotive, Delis, Gas Stations, Food, Coffee & Tea, Sandwiches, Convenience Stores",3.0,56
